NM_000014	A2MG_HUMAN	P01023
NM_001164771	CTR2_HUMAN	P52569
NM_003046	CTR2_HUMAN	P52569
NM_003047	B2RAH2_HUMAN	B2RAH2
NM_003047	SL9A1_HUMAN	P19634
NM_003048	SL9A2_HUMAN	Q9UBY0
NM_003049	B2RA41_HUMAN	B2RA41
NM_003049	NTCP_HUMAN	Q14973
NM_001166496	A0A024R0H1_HUMAN	A0A024R0H1
NM_003051	A0A024R0H1_HUMAN	A0A024R0H1
NM_001166496	MOT1_HUMAN	P53985
NM_003051	MOT1_HUMAN	P53985
NM_003052	A0A024R7R9_HUMAN	A0A024R7R9
NM_001167579	NPT2A_HUMAN	Q06495
NM_003052	NPT2A_HUMAN	Q06495
NM_003052	Q7Z725_HUMAN	Q7Z725
NM_003052	Q86VN6_HUMAN	Q86VN6
NM_001135691	VMAT1_HUMAN	P54219
NM_001142324	VMAT1_HUMAN	P54219
NM_001142325	VMAT1_HUMAN	P54219
NM_003053	VMAT1_HUMAN	P54219
NM_001135691	Q96GL6_HUMAN	Q96GL6
NM_001142324	Q96GL6_HUMAN	Q96GL6
NM_001142325	Q96GL6_HUMAN	Q96GL6
NM_003053	Q96GL6_HUMAN	Q96GL6
NM_003054	VMAT2_HUMAN	Q05940
NM_003055	VACHT_HUMAN	Q16572
NM_003058	S22A2_HUMAN	O15244
NM_003059	S22A4_HUMAN	Q9H015
NM_001308122	S22A5_HUMAN	O76082
NM_003060	S22A5_HUMAN	O76082
NM_003061	A6H8V1_HUMAN	A6H8V1
NM_003061	SLIT1_HUMAN	O75093
NM_001271946	SLIT3_HUMAN	O75094
NM_003062	SLIT3_HUMAN	O75094
NM_003063	SARCO_HUMAN	O00631
NM_003064	SLPI_HUMAN	P03973
NM_003068	SNAI2_HUMAN	O43623
NM_001282875	SMCA1_HUMAN	P28370
NM_003069	SMCA1_HUMAN	P28370
NM_001128844	A7E2E1_HUMAN	A7E2E1
NM_003072	A7E2E1_HUMAN	A7E2E1
NM_001128844	SMCA4_HUMAN	P51532
NM_001128845	SMCA4_HUMAN	P51532
NM_001128846	SMCA4_HUMAN	P51532
NM_001128847	SMCA4_HUMAN	P51532
NM_001128848	SMCA4_HUMAN	P51532
NM_003072	SMCA4_HUMAN	P51532
NM_001007468	SNF5_HUMAN	Q12824
NM_003073	SNF5_HUMAN	Q12824
NM_003073	Q9H836_HUMAN	Q9H836
NM_003074	Q58EY4_HUMAN	Q58EY4
NM_003074	SMRC1_HUMAN	Q92922
NM_003075	A0A024RB22_HUMAN	A0A024RB22
NM_001003802	A0A090N8Z9_HUMAN	A0A090N8Z9
NM_003078	A0A090N8Z9_HUMAN	A0A090N8Z9
NM_001003801	SMRD3_HUMAN	Q6STE5
NM_001003802	SMRD3_HUMAN	Q6STE5
NM_003078	SMRD3_HUMAN	Q6STE5
NM_003079	A0A024R1S7_HUMAN	A0A024R1S7
NM_003079	SMCE1_HUMAN	Q969G3
NM_003080	NSMA_HUMAN	O60906
NM_003082	B2RC42_HUMAN	B2RC42
NM_003082	SNPC1_HUMAN	Q16533
NM_003083	SNPC2_HUMAN	Q13487
NM_001001502	SYUB_HUMAN	Q16143
NM_003085	SYUB_HUMAN	Q16143
NM_003086	A0A024R8F4_HUMAN	A0A024R8F4
NM_003086	SNPC4_HUMAN	Q5SXM2
NM_003087	SYUG_HUMAN	O76070
NM_003087	Q6FHG5_HUMAN	Q6FHG5
NM_003088	B3KTA3_HUMAN	B3KTA3
NM_003088	FSCN1_HUMAN	Q16658
NM_003089	A0A024QZD5_HUMAN	A0A024QZD5
NM_001301069	RU17_HUMAN	P08621
NM_003089	RU17_HUMAN	P08621
NM_003090	RU2A_HUMAN	P09661
NM_003091	Q66K91_HUMAN	Q66K91
NM_003093	RU1C_HUMAN	P09234
NM_003093	Q5TAL4_HUMAN	Q5TAL4
NM_001304464	RUXE_HUMAN	P62304
NM_003094	RUXE_HUMAN	P62304
NM_003095	RUXF_HUMAN	P62306
NM_003096	RUXG_HUMAN	P62308
NM_003098	SNTA1_HUMAN	Q13424
NM_001278199	SNX2_HUMAN	O60749
NM_003100	SNX2_HUMAN	O60749
NM_001252511	SOAT1_HUMAN	P35610
NM_001252512	SOAT1_HUMAN	P35610
NM_003101	SOAT1_HUMAN	P35610
NM_003102	SODE_HUMAN	P08294
NM_003104	DHSO_HUMAN	Q00796
NM_003105	A0A024R3H2_HUMAN	A0A024R3H2
NM_003105	SORL_HUMAN	Q92673
NM_003106	SOX2_HUMAN	P48431
NM_003107	SOX4_HUMAN	Q06945
NM_003108	SOX11_HUMAN	P35716
NM_003110	SP2_HUMAN	Q02086
NM_001017371	SP3_HUMAN	Q02447
NM_001172712	SP3_HUMAN	Q02447
NM_003111	SP3_HUMAN	Q02447
NM_003111	Q86TP0_HUMAN	Q86TP0
NM_003112	SP4_HUMAN	Q02446
NM_001080391	SP100_HUMAN	P23497
NM_001206701	SP100_HUMAN	P23497
NM_001206702	SP100_HUMAN	P23497
NM_001206703	SP100_HUMAN	P23497
NM_001206704	SP100_HUMAN	P23497
NM_003113	SP100_HUMAN	P23497
NM_003115	UAP1_HUMAN	Q16222
NM_003116	SPAG4_HUMAN	Q9NPE6
NM_003118	SPRC_HUMAN	P09486
NM_001080547	SPI1_HUMAN	P17947
NM_003120	SPI1_HUMAN	P17947
NM_003121	A0A024R4I5_HUMAN	A0A024R4I5
NM_001243998	SPIB_HUMAN	Q01892
NM_001243999	SPIB_HUMAN	Q01892
NM_001244000	SPIB_HUMAN	Q01892
NM_003121	SPIB_HUMAN	Q01892
NM_003122	ISK1_HUMAN	P00995
NM_001030288	A0A024R629_HUMAN	A0A024R629
NM_003123	A0A024R629_HUMAN	A0A024R629
NM_001030288	LEUK_HUMAN	P16150
NM_003123	LEUK_HUMAN	P16150
NM_003124	SPRE_HUMAN	P35270
NM_003125	SPR1B_HUMAN	P22528
NM_003126	SPTA1_HUMAN	P02549
NM_001130438	SPTN1_HUMAN	Q13813
NM_001195532	SPTN1_HUMAN	Q13813
NM_003127	SPTN1_HUMAN	Q13813
NM_003128	B2ZZ89_HUMAN	B2ZZ89
NM_003129	ERG1_HUMAN	Q14534
NM_003129	Q5HYI4_HUMAN	Q5HYI4
NM_003129	Q9UNR6_HUMAN	Q9UNR6
NM_003130	B4DHQ6_HUMAN	B4DHQ6
NM_003131	A0A024RD16_HUMAN	A0A024RD16
NM_001292001	SRF_HUMAN	P11831
NM_003131	SRF_HUMAN	P11831
NM_003132	SPEE_HUMAN	P19623
NM_001130440	SRP09_HUMAN	P49458
NM_003133	SRP09_HUMAN	P49458
NM_003134	SRP14_HUMAN	P37108
NM_001204193	SRP19_HUMAN	P09132
NM_001204194	SRP19_HUMAN	P09132
NM_001204196	SRP19_HUMAN	P09132
NM_003135	SRP19_HUMAN	P09132
NM_001146282	SRP54_HUMAN	P61011
NM_003136	SRP54_HUMAN	P61011
NM_003137	SRPK1_HUMAN	Q96SB4
NM_001177842	SRPR_HUMAN	P08240
NM_003139	SRPR_HUMAN	P08240
NM_003140	A7WPU8_HUMAN	A7WPU8
NM_003140	SRY_HUMAN	Q05066
NM_003141	RO52_HUMAN	P19474
NM_001294145	LA_HUMAN	P05455
NM_003142	LA_HUMAN	P05455
NM_001256510	A4D1U3_HUMAN	A4D1U3
NM_001256511	A4D1U3_HUMAN	A4D1U3
NM_001256512	A4D1U3_HUMAN	A4D1U3
NM_001256513	A4D1U3_HUMAN	A4D1U3
NM_003143	A4D1U3_HUMAN	A4D1U3
NM_001256510	SSBP_HUMAN	Q04837
NM_001256511	SSBP_HUMAN	Q04837
NM_001256512	SSBP_HUMAN	Q04837
NM_001256513	SSBP_HUMAN	Q04837
NM_003143	SSBP_HUMAN	Q04837
NM_001292008	SSRA_HUMAN	P43307
NM_003144	SSRA_HUMAN	P43307
NM_003145	SSRB_HUMAN	P43308
NM_003146	A0A024R4Z6_HUMAN	A0A024R4Z6
NM_003146	SSRP1_HUMAN	Q08945
NM_001292049	Q8WUK8_HUMAN	Q8WUK8
NM_003149	Q8WUK8_HUMAN	Q8WUK8
NM_003149	STAC_HUMAN	Q99469
NM_001243835	STAT4_HUMAN	Q14765
NM_003151	STAT4_HUMAN	Q14765
NM_001288718	A8K6I5_HUMAN	A8K6I5
NM_001288719	A8K6I5_HUMAN	A8K6I5
NM_001288720	A8K6I5_HUMAN	A8K6I5
NM_003152	A8K6I5_HUMAN	A8K6I5
NM_001288718	STA5A_HUMAN	P42229
NM_001288719	STA5A_HUMAN	P42229
NM_001288720	STA5A_HUMAN	P42229
NM_003152	STA5A_HUMAN	P42229
NM_001288718	Q59GY7_HUMAN	Q59GY7
NM_001288719	Q59GY7_HUMAN	Q59GY7
NM_001288720	Q59GY7_HUMAN	Q59GY7
NM_003152	Q59GY7_HUMAN	Q59GY7
NM_001178078	STAT6_HUMAN	P42226
NM_001178079	STAT6_HUMAN	P42226
NM_001178080	STAT6_HUMAN	P42226
NM_003153	STAT6_HUMAN	P42226
NM_001009181	STAT_HUMAN	P02808
NM_003154	STAT_HUMAN	P02808
NM_003155	STC1_HUMAN	P52823
NM_001277962	STIM1_HUMAN	Q13586
NM_003156	STIM1_HUMAN	Q13586
NM_001193533	NEK4_HUMAN	P51957
NM_003157	NEK4_HUMAN	P51957
NM_003157	Q05DF6_HUMAN	Q05DF6
NM_001037343	CDKL5_HUMAN	O76039
NM_003159	CDKL5_HUMAN	O76039
NM_001015878	AURKC_HUMAN	Q9UQB9
NM_001015879	AURKC_HUMAN	Q9UQB9
NM_003160	AURKC_HUMAN	Q9UQB9
NM_001272042	KS6B1_HUMAN	P23443
NM_001272043	KS6B1_HUMAN	P23443
NM_001272044	KS6B1_HUMAN	P23443
NM_001272060	KS6B1_HUMAN	P23443
NM_003161	KS6B1_HUMAN	P23443
NM_003162	STRN_HUMAN	O43815
NM_001244666	STX5_HUMAN	Q13190
NM_003164	STX5_HUMAN	Q13190
NM_001032221	STXB1_HUMAN	P61764
NM_003165	STXB1_HUMAN	P61764
NM_003167	A8K015_HUMAN	A8K015
NM_003167	ST2A1_HUMAN	Q06520
NM_003168	SPT4H_HUMAN	P63272
NM_001111020	SPT5H_HUMAN	O00267
NM_001130824	SPT5H_HUMAN	O00267
NM_001130825	SPT5H_HUMAN	O00267
NM_003169	SPT5H_HUMAN	O00267
NM_003170	SPT6H_HUMAN	Q7KZ85
NM_001301683	SUV3_HUMAN	Q8IYB8
NM_003171	SUV3_HUMAN	Q8IYB8
NM_003172	E5KRX5_HUMAN	E5KRX5
NM_001280787	SURF1_HUMAN	Q15526
NM_003172	SURF1_HUMAN	Q15526
NM_001282166	SUV91_HUMAN	O43463
NM_003173	SUV91_HUMAN	O43463
NM_003175	XCL2_HUMAN	Q9UBD3
NM_001282541	A0A024R0I2_HUMAN	A0A024R0I2
NM_003176	A0A024R0I2_HUMAN	A0A024R0I2
NM_001282541	SYCP1_HUMAN	Q15431
NM_003176	SYCP1_HUMAN	Q15431
NM_001174167	A0A024R244_HUMAN	A0A024R244
NM_003177	A0A024R244_HUMAN	A0A024R244
NM_001135052	KSYK_HUMAN	P43405
NM_001174167	KSYK_HUMAN	P43405
NM_001174168	KSYK_HUMAN	P43405
NM_003177	KSYK_HUMAN	P43405
NM_003178	A0A087X2E3_HUMAN	A0A087X2E3
NM_003178	Q59GM1_HUMAN	Q59GM1
NM_003178	SYN2_HUMAN	Q92777
NM_003179	SYPH_HUMAN	P08247
NM_003180	A0A024R4N8_HUMAN	A0A024R4N8
NM_001297774	SYT5_HUMAN	O00445
NM_003180	SYT5_HUMAN	O00445
NM_001270484	BRAC_HUMAN	O15178
NM_003181	BRAC_HUMAN	O15178
NM_003183	B2RNB2_HUMAN	B2RNB2
NM_003183	ADA17_HUMAN	P78536
NM_003184	B3KMD8_HUMAN	B3KMD8
NM_003184	TAF2_HUMAN	Q6P1X5
NM_003185	TAF4_HUMAN	O00268
NM_001001522	TAGL_HUMAN	Q01995
NM_003186	TAGL_HUMAN	Q01995
NM_001001522	Q5U0D2_HUMAN	Q5U0D2
NM_003186	Q5U0D2_HUMAN	Q5U0D2
NM_001015892	TAF9_HUMAN	Q16594
NM_003187	TAF9_HUMAN	Q16594
NM_001287347	TAL1_HUMAN	P17542
NM_001290403	TAL1_HUMAN	P17542
NM_001290404	TAL1_HUMAN	P17542
NM_001290405	TAL1_HUMAN	P17542
NM_001290406	TAL1_HUMAN	P17542
NM_003189	TAL1_HUMAN	P17542
NM_003190	A0A024RCT1_HUMAN	A0A024RCT1
NM_003192	TBCC_HUMAN	Q15814
NM_001079515	TBCE_HUMAN	Q15813
NM_001287801	TBCE_HUMAN	Q15813
NM_001287802	TBCE_HUMAN	Q15813
NM_003193	TBCE_HUMAN	Q15813
NM_001172085	TBP_HUMAN	P20226
NM_003194	TBP_HUMAN	P20226
NM_003194	Q32MN7_HUMAN	Q32MN7
NM_003195	Q6IB64_HUMAN	Q6IB64
NM_003195	Q86VL0_HUMAN	Q86VL0
NM_003196	B4DUM4_HUMAN	B4DUM4
NM_003196	TCEA3_HUMAN	O75764
NM_003198	ELOA1_HUMAN	Q14241
NM_003199	A0A024R2C0_HUMAN	A0A024R2C0
NM_001083962	B3KVA4_HUMAN	B3KVA4
NM_001243230	B3KVA4_HUMAN	B3KVA4
NM_003199	B3KVA4_HUMAN	B3KVA4
NM_001083962	ITF2_HUMAN	P15884
NM_001243226	ITF2_HUMAN	P15884
NM_001243227	ITF2_HUMAN	P15884
NM_001243228	ITF2_HUMAN	P15884
NM_001243230	ITF2_HUMAN	P15884
NM_001243231	ITF2_HUMAN	P15884
NM_001243232	ITF2_HUMAN	P15884
NM_001243233	ITF2_HUMAN	P15884
NM_001243234	ITF2_HUMAN	P15884
NM_001243235	ITF2_HUMAN	P15884
NM_001243236	ITF2_HUMAN	P15884
NM_001306207	ITF2_HUMAN	P15884
NM_001306208	ITF2_HUMAN	P15884
NM_003199	ITF2_HUMAN	P15884
NM_001136139	TFE2_HUMAN	P15923
NM_003200	TFE2_HUMAN	P15923
NM_003201	E5KSU5_HUMAN	E5KSU5
NM_001270782	TFAM_HUMAN	Q00059
NM_003201	TFAM_HUMAN	Q00059
NM_001201334	A4UHR0_HUMAN	A4UHR0
NM_003203	A4UHR0_HUMAN	A4UHR0
NM_001201334	GCFC2_HUMAN	P16383
NM_001201335	GCFC2_HUMAN	P16383
NM_003203	GCFC2_HUMAN	P16383
NM_003204	NF2L1_HUMAN	Q14494
NM_003204	Q8NF22_HUMAN	Q8NF22
NM_003211	B4E127_HUMAN	B4E127
NM_003211	TDG_HUMAN	Q13569
NM_001174136	TDGF1_HUMAN	P13385
NM_003212	TDGF1_HUMAN	P13385
NM_003214	TEAD3_HUMAN	Q99594
NM_003215	TEC_HUMAN	P42680
NM_001145398	TEF_HUMAN	Q10587
NM_003216	TEF_HUMAN	Q10587
NM_003217	A0A024R0Z5_HUMAN	A0A024R0Z5
NM_001098576	BI1_HUMAN	P55061
NM_003217	BI1_HUMAN	P55061
NM_001032280	AP2A_HUMAN	P05549
NM_001042425	AP2A_HUMAN	P05549
NM_003220	AP2A_HUMAN	P05549
NM_003221	AP2B_HUMAN	Q92481
NM_003222	AP2C_HUMAN	Q92754
NM_003223	TFAP4_HUMAN	Q01664
NM_001134758	ARFRP_HUMAN	Q13795
NM_001267545	ARFRP_HUMAN	Q13795
NM_001267546	ARFRP_HUMAN	Q13795
NM_001267547	ARFRP_HUMAN	Q13795
NM_001267548	ARFRP_HUMAN	Q13795
NM_001267549	ARFRP_HUMAN	Q13795
NM_003224	ARFRP_HUMAN	Q13795
NM_003225	TFF1_HUMAN	P04155
NM_003226	A0A0A6YYJ4_HUMAN	A0A0A6YYJ4
NM_003226	TFF3_HUMAN	Q07654
NM_001206855	TFR2_HUMAN	Q9UP52
NM_003227	TFR2_HUMAN	Q9UP52
NM_003234	A8K6Q8_HUMAN	A8K6Q8
NM_001128148	TFR1_HUMAN	P02786
NM_003234	TFR1_HUMAN	P02786
NM_003235	THYG_HUMAN	P01266
NM_001099691	TGFA_HUMAN	P01135
NM_001308158	TGFA_HUMAN	P01135
NM_001308159	TGFA_HUMAN	P01135
NM_003236	TGFA_HUMAN	P01135
NM_001135599	TGFB2_HUMAN	P61812
NM_003238	TGFB2_HUMAN	P61812
NM_003239	A5YM40_HUMAN	A5YM40
NM_003239	B3KVH9_HUMAN	B3KVH9
NM_003239	TGFB3_HUMAN	P10600
NM_003240	A0A024R3P5_HUMAN	A0A024R3P5
NM_001172425	LFTY2_HUMAN	O00292
NM_003240	LFTY2_HUMAN	O00292
NM_003241	TGM4_HUMAN	P49221
NM_003242	A3QNQ0_HUMAN	A3QNQ0
NM_001024847	TGFR2_HUMAN	P37173
NM_003242	TGFR2_HUMAN	P37173
NM_001195683	TGBR3_HUMAN	Q03167
NM_001195684	TGBR3_HUMAN	Q03167
NM_003243	TGBR3_HUMAN	Q03167
NM_003245	TGM3_HUMAN	Q08188
NM_003246	TSP1_HUMAN	P07996
NM_003247	TSP2_HUMAN	P35442
NM_001306212	TSP4_HUMAN	P35443
NM_001306213	TSP4_HUMAN	P35443
NM_001306214	TSP4_HUMAN	P35443
NM_003248	TSP4_HUMAN	P35443
NM_003249	THOP1_HUMAN	P52888
NM_003251	THRSP_HUMAN	Q92748
NM_001033925	TIAR_HUMAN	Q01085
NM_003252	TIAR_HUMAN	Q01085
NM_001033925	Q49AS9_HUMAN	Q49AS9
NM_003252	Q49AS9_HUMAN	Q49AS9
NM_003253	TIAM1_HUMAN	Q13009
NM_003254	TIMP1_HUMAN	P01033
NM_003254	Q6FGX5_HUMAN	Q6FGX5
NM_003255	TIMP2_HUMAN	P16035
NM_003256	TIMP4_HUMAN	Q99727
NM_003258	KITH_HUMAN	P04183
NM_003259	Q8N6I2_HUMAN	Q8N6I2
NM_003259	ICAM5_HUMAN	Q9UMF0
NM_001144761	TLE2_HUMAN	Q04725
NM_001144762	TLE2_HUMAN	Q04725
NM_001300846	TLE2_HUMAN	Q04725
NM_003260	TLE2_HUMAN	Q04725
NM_003262	SEC62_HUMAN	Q99442
NM_003263	TLR1_HUMAN	Q15399
NM_003264	B3KWR9_HUMAN	B3KWR9
NM_003264	TLR2_HUMAN	O60603
NM_003265	TLR3_HUMAN	O15455
NM_003268	TLR5_HUMAN	O60602
NM_003269	B6ZGT9_HUMAN	B6ZGT9
NM_001286102	NR2E1_HUMAN	Q9Y466
NM_003269	NR2E1_HUMAN	Q9Y466
NM_001278743	TSN6_HUMAN	O43657
NM_003270	TSN6_HUMAN	O43657
NM_001025234	A0A024RCE1_HUMAN	A0A024RCE1
NM_001025235	A0A024RCE1_HUMAN	A0A024RCE1
NM_001025236	A0A024RCE1_HUMAN	A0A024RCE1
NM_001025237	A0A024RCE1_HUMAN	A0A024RCE1
NM_001025238	A0A024RCE1_HUMAN	A0A024RCE1
NM_003271	A0A024RCE1_HUMAN	A0A024RCE1
NM_001025234	TSN4_HUMAN	O14817
NM_001025235	TSN4_HUMAN	O14817
NM_001025236	TSN4_HUMAN	O14817
NM_001025237	TSN4_HUMAN	O14817
NM_001025238	TSN4_HUMAN	O14817
NM_001025239	TSN4_HUMAN	O14817
NM_003271	TSN4_HUMAN	O14817
NM_003272	G137B_HUMAN	O60478
NM_003273	A0A024R577_HUMAN	A0A024R577
NM_001277233	ERG24_HUMAN	O76062
NM_003273	ERG24_HUMAN	O76062
NM_003274	TPC10_HUMAN	P48553
NM_001166116	TMOD1_HUMAN	P28289
NM_003275	TMOD1_HUMAN	P28289
NM_003276	LAP2A_HUMAN	P42166
NM_001130861	D3DX19_HUMAN	D3DX19
NM_003277	D3DX19_HUMAN	D3DX19
NM_001130861	CLD5_HUMAN	O00501
NM_003277	CLD5_HUMAN	O00501
NM_003278	A0A024R2Q7_HUMAN	A0A024R2Q7
NM_003278	TETN_HUMAN	P05452
NM_003279	TNNC2_HUMAN	P02585
NM_003280	TNNC1_HUMAN	P63316
NM_003280	Q6FH91_HUMAN	Q6FH91
NM_003281	TNNI1_HUMAN	P19237
NM_001145829	TNNI2_HUMAN	P48788
NM_001145841	TNNI2_HUMAN	P48788
NM_003282	TNNI2_HUMAN	P48788
NM_001126132	TNNT1_HUMAN	P13805
NM_001126133	TNNT1_HUMAN	P13805
NM_001291774	TNNT1_HUMAN	P13805
NM_003283	TNNT1_HUMAN	P13805
NM_003284	STP1_HUMAN	P09430
NM_003284	Q4ZG82_HUMAN	Q4ZG82
NM_003285	A1L306_HUMAN	A1L306
NM_003285	TENR_HUMAN	Q92752
NM_003286	TOP1_HUMAN	P11387
NM_001003395	TPD53_HUMAN	Q16890
NM_001003396	TPD53_HUMAN	Q16890
NM_001003397	TPD53_HUMAN	Q16890
NM_001292026	TPD53_HUMAN	Q16890
NM_001300994	TPD53_HUMAN	Q16890
NM_003287	TPD53_HUMAN	Q16890
NM_003288	Q6FGS1_HUMAN	Q6FGS1
NM_001145160	TPM4_HUMAN	P67936
NM_003290	TPM4_HUMAN	P67936
NM_003290	V9HW56_HUMAN	V9HW56
NM_003291	TPP2_HUMAN	P29144
NM_003292	TPR_HUMAN	P12270
NM_003294	TRYB1_HUMAN	Q15661
NM_001286273	TCTP_HUMAN	P13693
NM_003295	TCTP_HUMAN	P13693
NM_001142407	A0A024RD74_HUMAN	A0A024RD74
NM_001142408	A0A024RD74_HUMAN	A0A024RD74
NM_001142417	A0A024RD74_HUMAN	A0A024RD74
NM_001142435	A0A024RD74_HUMAN	A0A024RD74
NM_001261822	A0A024RD74_HUMAN	A0A024RD74
NM_003296	A0A024RD74_HUMAN	A0A024RD74
NM_001142407	CRIS2_HUMAN	P16562
NM_001142408	CRIS2_HUMAN	P16562
NM_001142417	CRIS2_HUMAN	P16562
NM_001142435	CRIS2_HUMAN	P16562
NM_001261822	CRIS2_HUMAN	P16562
NM_003296	CRIS2_HUMAN	P16562
NM_003297	H9NIM2_HUMAN	H9NIM2
NM_001032287	NR2C1_HUMAN	P13056
NM_001127362	NR2C1_HUMAN	P13056
NM_003297	NR2C1_HUMAN	P13056
NM_003298	F2YGU2_HUMAN	F2YGU2
NM_001291694	NR2C2_HUMAN	P49116
NM_003298	NR2C2_HUMAN	P49116
NM_003299	ENPL_HUMAN	P14625
NM_003299	V9HWP2_HUMAN	V9HWP2
NM_003301	TRFR_HUMAN	P34981
NM_003302	TRIP6_HUMAN	Q15654
NM_001251845	TRPC1_HUMAN	P48995
NM_003304	TRPC1_HUMAN	P48995
NM_001130698	TRPC3_HUMAN	Q13507
NM_003305	TRPC3_HUMAN	Q13507
NM_003307	TRPM2_HUMAN	O94759
NM_003308	A4FUW6_HUMAN	A4FUW6
NM_001077697	TSPY1_HUMAN	Q01534
NM_001282469	TSPY1_HUMAN	Q01534
NM_003308	TSPY1_HUMAN	Q01534
NM_003309	TSYL1_HUMAN	Q9H0U9
NM_003310	TSSC1_HUMAN	Q53HC9
NM_003311	PHLA2_HUMAN	Q53GA4
NM_001270483	THTR_HUMAN	Q16762
NM_003312	THTR_HUMAN	Q16762
NM_003313	FCL_HUMAN	Q13630
NM_001282500	TTC1_HUMAN	Q99614
NM_003314	TTC1_HUMAN	Q99614
NM_001144766	DNJC7_HUMAN	Q99615
NM_003315	DNJC7_HUMAN	Q99615
NM_001001894	TTC3_HUMAN	P53804
NM_003316	TTC3_HUMAN	P53804
NM_001079668	NKX21_HUMAN	P43699
NM_003317	NKX21_HUMAN	P43699
NM_001166691	TTK_HUMAN	P33981
NM_003318	TTK_HUMAN	P33981
NM_003321	EFTU_HUMAN	P49411
NM_001289395	F1T0I9_HUMAN	F1T0I9
NM_003322	F1T0I9_HUMAN	F1T0I9
NM_001289395	TULP1_HUMAN	O00294
NM_003322	TULP1_HUMAN	O00294
NM_003323	TULP2_HUMAN	O00295
NM_003324	B7Z1E7_HUMAN	B7Z1E7
NM_001160408	TULP3_HUMAN	O75386
NM_003324	TULP3_HUMAN	O75386
NM_003325	HIRA_HUMAN	P54198
NM_003326	A0A024R937_HUMAN	A0A024R937
NM_001297562	TNFL4_HUMAN	P23510
NM_003326	TNFL4_HUMAN	P23510
NM_003327	TNR4_HUMAN	P43489
NM_003328	TXK_HUMAN	P42681
NM_003329	H9ZYJ2_HUMAN	H9ZYJ2
NM_001244938	THIO_HUMAN	P10599
NM_003329	THIO_HUMAN	P10599
NM_003331	A0A024R7E4_HUMAN	A0A024R7E4
NM_003331	TYK2_HUMAN	P29597
NM_001033930	RL40_HUMAN	P62987
NM_003333	RL40_HUMAN	P62987
NM_001033930	Q3MIH3_HUMAN	Q3MIH3
NM_003333	Q3MIH3_HUMAN	Q3MIH3
NM_001033930	Q7Z4P3_HUMAN	Q7Z4P3
NM_003333	Q7Z4P3_HUMAN	Q7Z4P3
NM_003335	UBA7_HUMAN	P41226
NM_003337	UBE2B_HUMAN	P63146
NM_003338	A0A024QZJ2_HUMAN	A0A024QZJ2
NM_003338	UB2D1_HUMAN	P51668
NM_003341	A0A024R2K3_HUMAN	A0A024R2K3
NM_003342	UB2G1_HUMAN	P62253
NM_003344	A4D1L5_HUMAN	A4D1L5
NM_003347	A0A024R1A4_HUMAN	A0A024R1A4
NM_001256355	UB2L3_HUMAN	P68036
NM_001256356	UB2L3_HUMAN	P68036
NM_003347	UB2L3_HUMAN	P68036
NM_003348	UBE2N_HUMAN	P61088
NM_003348	V9HW41_HUMAN	V9HW41
NM_003350	A0M8W4_HUMAN	A0M8W4
NM_003350	UB2V2_HUMAN	Q15819
NM_001005781	A0A024R3Z2_HUMAN	A0A024R3Z2
NM_003352	A0A024R3Z2_HUMAN	A0A024R3Z2
NM_001005781	SUMO1_HUMAN	P63165
NM_001005782	SUMO1_HUMAN	P63165
NM_003352	SUMO1_HUMAN	P63165
NM_003353	UCN1_HUMAN	P55089
NM_003355	A0A024R5N5_HUMAN	A0A024R5N5
NM_003355	UCP2_HUMAN	P55851
NM_003357	UTER_HUMAN	P11684
NM_003358	A0A024R157_HUMAN	A0A024R157
NM_003358	CEGT_HUMAN	Q16739
NM_001184700	UGDH_HUMAN	O60701
NM_001184701	UGDH_HUMAN	O60701
NM_003359	UGDH_HUMAN	O60701
NM_001128174	CGT_HUMAN	Q16880
NM_003360	CGT_HUMAN	Q16880
NM_001008389	UROM_HUMAN	P07911
NM_001278614	UROM_HUMAN	P07911
NM_003361	UROM_HUMAN	P07911
NM_003362	E5KTA6_HUMAN	E5KTA6
NM_003363	A0A024R2T0_HUMAN	A0A024R2T0
NM_003363	Q08AK7_HUMAN	Q08AK7
NM_001287426	B4DND0_HUMAN	B4DND0
NM_001287430	B4DND0_HUMAN	B4DND0
NM_003364	B4DND0_HUMAN	B4DND0
NM_001287426	UPP1_HUMAN	Q16831
NM_001287428	UPP1_HUMAN	Q16831
NM_001287429	UPP1_HUMAN	Q16831
NM_001287430	UPP1_HUMAN	Q16831
NM_003364	UPP1_HUMAN	Q16831
NM_003365	QCR1_HUMAN	P31930
NM_003366	QCR2_HUMAN	P22695
NM_001017415	UBP1_HUMAN	O94782
NM_001017416	UBP1_HUMAN	O94782
NM_003368	UBP1_HUMAN	O94782
NM_003369	UVRAG_HUMAN	Q9P2Y5
NM_003370	A0A024R0V4_HUMAN	A0A024R0V4
NM_003370	VASP_HUMAN	P50552
NM_001134398	VAV2_HUMAN	P52735
NM_003371	VAV2_HUMAN	P52735
NM_001303543	PFD3_HUMAN	P61758
NM_001303545	PFD3_HUMAN	P61758
NM_003372	PFD3_HUMAN	P61758
NM_003373	A0A024QZN4_HUMAN	A0A024QZN4
NM_003374	B3KTS5_HUMAN	B3KTS5
NM_003374	VDAC1_HUMAN	P21796
NM_001184823	A0A024QZT0_HUMAN	A0A024QZT0
NM_003375	A0A024QZT0_HUMAN	A0A024QZT0
