P01023	A2MG_HUMAN	NM_000014
E1U1M9	E1U1M9_HUMAN	NM_001258253
F4MH27	F4MH27_HUMAN	NM_001258255
A0A096LPD8	A0A096LPD8_HUMAN	NM_001258256
F4MH30	F4MH30_HUMAN	NM_001258256
F4MH31	F4MH31_HUMAN	NM_001258257
A0A087X0Y2	A0A087X0Y2_HUMAN	NM_001258258
F4MH40	F4MH40_HUMAN	NM_001258258
F4MH32	F4MH32_HUMAN	NM_001258259
F4MH47	F4MH47_HUMAN	NM_001258260
F4MH50	F4MH50_HUMAN	NM_001258261
F5GWV3	F5GWV3_HUMAN	NM_001258261
F4MH51	F4MH51_HUMAN	NM_001258262
F4MH60	F4MH60_HUMAN	NM_001258263
F4MH62	F4MH62_HUMAN	NM_001258264
A0A087X248	A0A087X248_HUMAN	NM_001258265
F4MH91	F4MH91_HUMAN	NM_001258265
A0A087X2I9	A0A087X2I9_HUMAN	NM_001258266
F4MH92	F4MH92_HUMAN	NM_001258266
E1U1M3	E1U1M3_HUMAN	NM_001258267
F4MH29	F4MH29_HUMAN	NM_001258268
F4MH46	F4MH46_HUMAN	NM_001258269
F4MH36	F4MH36_HUMAN	NM_001258270
Q59EG3	Q59EG3_HUMAN	NM_001258271
A0A024R2S9	A0A024R2S9_HUMAN	NM_001167618,NM_001167619,NM_001258273,NM_001258274
P40692	MLH1_HUMAN	NM_000249,NM_001167617,NM_001167618,NM_001167619,NM_001258271,NM_001258273,NM_001258274
P43246	MSH2_HUMAN	NM_000251,NM_001258281
Q8NHB1	OR2V1_HUMAN	NM_001258283
Q8NG80	OR2L5_HUMAN	NM_001258284
Q8NGE2	O2AP1_HUMAN	NM_001258285
B5B2P4	B5B2P4_HUMAN	NM_001258295,NM_001258297
F1SW65	F1SW65_HUMAN	NM_001258304
F1SW66	F1SW66_HUMAN	NM_001258305
F5GZA4	F5GZA4_HUMAN	NM_001258305
Q8N414	PGBD5_HUMAN	NM_001258311
B7Z226	B7Z226_HUMAN	NM_001258312
Q9Y633	Q9Y633_HUMAN	NM_001258312
B7Z7A2	B7Z7A2_HUMAN	NM_001258314
A0A0C4DH22	A0A0C4DH22_HUMAN	NM_001258329
B2RAT6	B2RAT6_HUMAN	NM_000155,NM_001258332
P07902	GALT_HUMAN	NM_000155,NM_001258332
A8K679	A8K679_HUMAN	NM_001258345
F1D8T1	F1D8T1_HUMAN	NM_000457,NM_001258355
A0A087WSZ2	A0A087WSZ2_HUMAN	NM_001258371
B4DZQ2	B4DZQ2_HUMAN	NM_001104,NM_001258371
Q08043	ACTN3_HUMAN	NM_001104,NM_001258371
A0A024R7G6	A0A024R7G6_HUMAN	NM_001258375
A0A087X2E5	A0A087X2E5_HUMAN	NM_001258384
A6NK06	IRG1_HUMAN	NM_001258406
B7Z8N3	B7Z8N3_HUMAN	NM_001258411
Q9GZN8	CT027_HUMAN	NM_001039140,NM_001258429,NM_001258430
Q8N959	Q8N959_HUMAN	NM_001258432,NM_001258433
Q2MD54	Q2MD54_HUMAN	NM_001258441
Q2MD59	Q2MD59_HUMAN	NM_001258442
B4DYD2	B4DYD2_HUMAN	NM_001258447
B3KV95	B3KV95_HUMAN	NM_001258452
F6UZG9	F6UZG9_HUMAN	NM_001258452
Q2TAK1	Q2TAK1_HUMAN	NM_001258453
B7Z6U2	B7Z6U2_HUMAN	NM_001258460
Q66SS1	Q66SS1_HUMAN	NM_000280,NM_001127612,NM_001258464,NM_001258465
Q00534	CDK6_HUMAN	NM_001145306,NM_001259
P49336	CDK8_HUMAN	NM_001260
B4DIX7	B4DIX7_HUMAN	NM_001260491
A0A024RBF2	A0A024RBF2_HUMAN	NM_001260498
B3KY91	B3KY91_HUMAN	NM_001260504
P23396	RS3_HUMAN	NM_001005,NM_001256802,NM_001260506,NM_001260507
D2X9V0	D2X9V0_HUMAN	NM_001260509
D2XBF0	D2XBF0_HUMAN	NM_001260510
A0A024R880	A0A024R880_HUMAN	NM_001261
P50750	CDK9_HUMAN	NM_001261
B7Z3W8	B7Z3W8_HUMAN	NM_001261380
B4DIA9	B4DIA9_HUMAN	NM_001261384
E7EXA8	E7EXA8_HUMAN	NM_001261399
B3KRM8	B3KRM8_HUMAN	NM_001261401
B3KNL6	B3KNL6_HUMAN	NM_001261409
B3KP06	B3KP06_HUMAN	NM_001261409
Q8WVI7	PPR1C_HUMAN	NM_001080545,NM_001261424,NM_001261425
Q8N8F1	Q8N8F1_HUMAN	NM_001261440
F5GZK1	F5GZK1_HUMAN	NM_001261442
A8K1Y9	A8K1Y9_HUMAN	NM_001142339,NM_001261443
B7Z2S5	B7Z2S5_HUMAN	NM_001261445
Q05CA2	Q05CA2_HUMAN	NM_001261457
Q0VAI0	Q0VAI0_HUMAN	NM_001261457
Q5VYH9	Q5VYH9_HUMAN	NM_001261457
A0A0A0MRM2	A0A0A0MRM2_HUMAN	NM_001261463
A0A024QZ33	A0A024QZ33_HUMAN	NM_001261467
B7ZL27	B7ZL27_HUMAN	NM_001261467
B7ZAT8	B7ZAT8_HUMAN	NM_001261817
B4E1H0	B4E1H0_HUMAN	NM_001261823
A0A0A0MS57	A0A0A0MS57_HUMAN	NM_001261827
A8K3Q8	A8K3Q8_HUMAN	NM_001261830
B3KRS4	B3KRS4_HUMAN	NM_001261834
B4DU42	B4DU42_HUMAN	NM_001261834
X5DQQ3	X5DQQ3_HUMAN	NM_001261835
A0A0A0MSI3	A0A0A0MSI3_HUMAN	NM_001261838
B7Z946	B7Z946_HUMAN	NM_001261841
A0A0A0MT18	A0A0A0MT18_HUMAN	NM_001082480,NM_001261843
A0A024RDG8	A0A024RDG8_HUMAN	NM_001263
Q92903	CDS1_HUMAN	NM_001263
Q15517	CDSN_HUMAN	NM_001264
A0A0C4DGP2	A0A0C4DGP2_HUMAN	NM_001264573
Q99626	CDX2_HUMAN	NM_001265
A0A0C4DGP5	A0A0C4DGP5_HUMAN	NM_001265577
Q6NWY8	Q6NWY8_HUMAN	NM_001264573,NM_001265577
Q86Y91	KI18B_HUMAN	NM_001264573,NM_001265577
A0A0A0MTK1	A0A0A0MTK1_HUMAN	NM_001265598
A8K984	A8K984_HUMAN	NM_001265602
B7ZLZ7	B7ZLZ7_HUMAN	NM_001265602
A0A087X0N0	A0A087X0N0_HUMAN	NM_001265609
B7Z218	B7Z218_HUMAN	NM_001265609
A2RUH7	MBPHL_HUMAN	NM_001010985,NM_001265613
D6RF84	D6RF84_HUMAN	NM_001265615
P23141	EST1_HUMAN	NM_001025194,NM_001025195,NM_001266
O15335	CHAD_HUMAN	NM_001267
A0A024R203	A0A024R203_HUMAN	NM_001267045
Q6MZZ1	Q6MZZ1_HUMAN	NM_001267045
A0A087WXK4	A0A087WXK4_HUMAN	NM_001267051
Q49AJ5	Q49AJ5_HUMAN	NM_001267051
A0A0A0MRL7	A0A0A0MRL7_HUMAN	NM_001267057
B4DWA2	B4DWA2_HUMAN	NM_001267057
B4DTB8	B4DTB8_HUMAN	NM_001267059
B4DQ37	B4DQ37_HUMAN	NM_001267061
A0A0A0MSE9	A0A0A0MSE9_HUMAN	NM_001267062
A0A0A0MSI4	A0A0A0MSI4_HUMAN	NM_001267067
A6NEF3	GG6L4_HUMAN	NM_001267536
B7ZKY8	B7ZKY8_HUMAN	NM_001267547
A0A0A0MTS7	A0A0A0MTS7_HUMAN	NM_001267550
B4DPM2	B4DPM2_HUMAN	NM_001267554
F5H8B0	F5H8B0_HUMAN	NM_001267554
A0A087WZ38	A0A087WZ38_HUMAN	NM_001267557
A0A024QZ42	A0A024QZ42_HUMAN	NM_001267558
O95049	ZO3_HUMAN	NM_001267560,NM_001267561
A0A024R166	A0A024R166_HUMAN	NM_001267572
Q5XX13	FBW10_HUMAN	NM_001267585,NM_001267586
Q6N001	Q6N001_HUMAN	NM_001267594,NM_001267595
Q7Z3G1	Q7Z3G1_HUMAN	NM_001267595
Q9P0U3	SENP1_HUMAN	NM_001267594,NM_001267595
A0A087WTK3	A0A087WTK3_HUMAN	NM_001267607
Q9Y6J7	Q9Y6J7_HUMAN	NM_001267608
A0A0A0MQW8	A0A0A0MQW8_HUMAN	NM_001267611
Q2Y0W8	S4A8_HUMAN	NM_001039960,NM_001258401,NM_001258402,NM_001258403,NM_001267615
A8K0T4	A8K0T4_HUMAN	NM_001267618
B7Z3M5	B7Z3M5_HUMAN	NM_001267699
Q99623	PHB2_HUMAN	NM_001144831,NM_001267700
Q0GN75	Q0GN75_HUMAN	NM_001267706
P0DKX0	ZN728_HUMAN	NM_001267716
P20809	IL11_HUMAN	NM_000641,NM_001267718
Q9Y6R9	CCD61_HUMAN	NM_001267723
A0A024QZ08	A0A024QZ08_HUMAN	NM_001267775,NM_001267776
A0A087X2B4	A0A087X2B4_HUMAN	NM_001267778
A0A087X0M6	A0A087X0M6_HUMAN	NM_001267779
A0A075B6T1	A0A075B6T1_HUMAN	NM_001267783
M9MML4	M9MML4_HUMAN	NM_001267798
A0A024R5N4	A0A024R5N4_HUMAN	NM_001267803,NM_001267804,NM_001267805
B4DY09	B4DY09_HUMAN	NM_001267809
A0A087WUD3	A0A087WUD3_HUMAN	NM_001267817
Q3ZCT4	Q3ZCT4_HUMAN	NM_001267843
A0A087WUN7	A0A087WUN7_HUMAN	NM_001267864
F5H7J8	F5H7J8_HUMAN	NM_001267865
Q86XB5	Q86XB5_HUMAN	NM_001100159,NM_001267865,NM_001267866
A0A087WWR3	A0A087WWR3_HUMAN	NM_001267868
P18754	RCC1_HUMAN	NM_001048194,NM_001048195,NM_001048199,NM_001269
Q5T081	Q5T081_HUMAN	NM_001048199,NM_001269
A6XGM9	A6XGM9_HUMAN	NM_001269045
V9GY73	V9GY73_HUMAN	NM_001269045
A6XGM0	A6XGM0_HUMAN	NM_001269051,NM_001269052
V9GYX4	V9GYX4_HUMAN	NM_001269051,NM_001269052
B3KT33	B3KT33_HUMAN	NM_001270
O14646	CHD1_HUMAN	NM_001270
A0A0A0MRQ7	A0A0A0MRQ7_HUMAN	NM_001270042
A8K1J3	A8K1J3_HUMAN	NM_001270362
B4DU43	B4DU43_HUMAN	NM_001270367,NM_001270368,NM_001270369
A0A087WZM8	A0A087WZM8_HUMAN	NM_001270371
B3KT99	B3KT99_HUMAN	NM_001270377
A0A024R9G2	A0A024R9G2_HUMAN	NM_001270379
A0A087WUX1	A0A087WUX1_HUMAN	NM_001270383
B4DK63	B4DK63_HUMAN	NM_001270384
B7ZLZ8	B7ZLZ8_HUMAN	NM_001270384
F8W7S1	F8W7S1_HUMAN	NM_001270384
P35575	G6PC_HUMAN	NM_000151,NM_001270397
C7S316	C7S316_HUMAN	NM_000219,NM_001127668,NM_001127669,NM_001127670,NM_001270402,NM_001270403,NM_001270404,NM_001270405
P15382	KCNE1_HUMAN	NM_000219,NM_001127668,NM_001127669,NM_001127670,NM_001270402,NM_001270403,NM_001270404,NM_001270405
B7ZLZ1	B7ZLZ1_HUMAN	NM_001270406
Q6P142	Q6P142_HUMAN	NM_001270410
A0A087WWV2	A0A087WWV2_HUMAN	NM_001270420
A0A087WX98	A0A087WX98_HUMAN	NM_001270421
K7ESG0	K7ESG0_HUMAN	NM_001270440
Q8N210	Q8N210_HUMAN	NM_001270440
P49748	ACADV_HUMAN	NM_000018,NM_001033859,NM_001270447
B3KPA6	B3KPA6_HUMAN	NM_001270448
P21397	AOFA_HUMAN	NM_000240,NM_001270458
Q49A63	Q49A63_HUMAN	NM_000240,NM_001270458
B4DUQ9	B4DUQ9_HUMAN	NM_001270472
J3KQ69	J3KQ69_HUMAN	NM_001270472
A0A087X2I4	A0A087X2I4_HUMAN	NM_001270481
Q07020	RL18_HUMAN	NM_000979,NM_001270490
Q8J015	Q8J015_HUMAN	NM_001270491
A0A087WY03	A0A087WY03_HUMAN	NM_001270493
A0A087X1P4	A0A087X1P4_HUMAN	NM_001270497
P23280	CAH6_HUMAN	NM_001215,NM_001270500,NM_001270501
B4DUH8	B4DUH8_HUMAN	NM_001215,NM_001270501,NM_001270502
Q05DL5	Q05DL5_HUMAN	NM_001270521
F8VSL7	F8VSL7_HUMAN	NM_001270527
A0A087X1R4	A0A087X1R4_HUMAN	NM_001270532,NM_001270533
A8MYJ1	A8MYJ1_HUMAN	NM_001270546
B0AZU4	B0AZU4_HUMAN	NM_001270546
A0A0A0MSY6	A0A0A0MSY6_HUMAN	NM_001270585
B4DIF4	B4DIF4_HUMAN	NM_001270585
M0R2M9	M0R2M9_HUMAN	NM_001270601
Q7Z7N5	Q7Z7N5_HUMAN	NM_001270640
Q1RLN5	Q1RLN5_HUMAN	NM_001270697
A0A087WX97	A0A087WX97_HUMAN	NM_001270726
A0A087WTL4	A0A087WTL4_HUMAN	NM_001270727
B7Z238	B7Z238_HUMAN	NM_001270728
F6VJB4	F6VJB4_HUMAN	NM_001270728
A0A0A0MR90	A0A0A0MR90_HUMAN	NM_001270732
B7Z737	B7Z737_HUMAN	NM_001270733
A8K5Y4	A8K5Y4_HUMAN	NM_001270732,NM_001270734
E9PDD6	E9PDD6_HUMAN	NM_001270734
Q86T62	Q86T62_HUMAN	NM_001270734
A0A087WW80	A0A087WW80_HUMAN	NM_001270735
A0A087X0T5	A0A087X0T5_HUMAN	NM_001270766,NM_001270767
Q5TI65	Q5TI65_HUMAN	NM_001270879
B7TZ90	B7TZ90_HUMAN	NM_001270891
A0A087WWM0	A0A087WWM0_HUMAN	NM_001270894
A0A087WYS5	A0A087WYS5_HUMAN	NM_001270897
A0A087WTB8	A0A087WTB8_HUMAN	NM_001270952
F6RGN5	F6RGN5_HUMAN	NM_001270953
Q86YI3	Q86YI3_HUMAN	NM_001270966
B4DXC9	B4DXC9_HUMAN	NM_001270979
Q6UW88	EPGN_HUMAN	NM_001270989,NM_001270990,NM_001270991,NM_001270992,NM_001270993
A0A087X0D9	A0A087X0D9_HUMAN	NM_001270999
O14647	CHD2_HUMAN	NM_001042572,NM_001271
A0A024R3K4	A0A024R3K4_HUMAN	NM_001271010
Q96FI0	Q96FI0_HUMAN	NM_001271015
Q96JD6	AKCL2_HUMAN	NM_001040177,NM_001271021,NM_001271025
A0A087WUD2	A0A087WUD2_HUMAN	NM_001271033
A0A087WZR4	A0A087WZR4_HUMAN	NM_001271036
A0A087WU90	A0A087WU90_HUMAN	NM_001271037
O75015	FCG3B_HUMAN	NM_000570,NM_001244753,NM_001271035,NM_001271036,NM_001271037
B4DHW2	B4DHW2_HUMAN	NM_001271043
Q4G0U5	PCDP1_HUMAN	NM_001271049
A0A087WXB8	A0A087WXB8_HUMAN	NM_001271145
P06401	PRGR_HUMAN	NM_000926,NM_001202474,NM_001271161,NM_001271162
A0A087X296	A0A087X296_HUMAN	NM_001271164
B4DK08	B4DK08_HUMAN	NM_001271183
A0A087X2C3	A0A087X2C3_HUMAN	NM_001271187
Q5GRG0	Q5GRG0_HUMAN	NM_001271209
H3BPX2	H3BPX2_HUMAN	NM_001271223
J3KMW5	J3KMW5_HUMAN	NM_001271285
B4DES6	B4DES6_HUMAN	NM_001271289
B7Z9P6	B7Z9P6_HUMAN	NM_001271318
A8K830	COLC2_HUMAN	NM_001136105,NM_001271457,NM_001271458
Q9NQR7	CC177_HUMAN	NM_001271507
B7Z2R7	B7Z2R7_HUMAN	NM_001271512
D5MRH1	D5MRH1_HUMAN	NM_001271518
Q59FH2	Q59FH2_HUMAN	NM_001014797,NM_001271518
B7ZMF5	B7ZMF5_HUMAN	NM_001271519
A0A087WZL8	A0A087WZL8_HUMAN	NM_001271520
S4R453	S4R453_HUMAN	NM_001271521
Q8WY19	Q8WY19_HUMAN	NM_001271534
Q5TEA6	SE1L2_HUMAN	NM_001271539
F7VJQ1	APRIO_HUMAN	NM_001271561
A0A0A8K8C2	A0A0A8K8C2_HUMAN	NM_001271562
B4DMF6	B4DMF6_HUMAN	NM_001271573
A0A0G2JPJ8	A0A0G2JPJ8_HUMAN	NM_001271592
B4DK41	B4DK41_HUMAN	NM_001271602
Q96HD8	Q96HD8_HUMAN	NM_001271604,NM_001271605
B4DIC4	B4DIC4_HUMAN	NM_001271608
X6R2W0	X6R2W0_HUMAN	NM_001271609
Q5U8S2	Q5U8S2_HUMAN	NM_001271610
C9JHF6	C9JHF6_HUMAN	NM_001271637
A0A0A0MRG3	A0A0A0MRG3_HUMAN	NM_001271640
A0A024RCX4	A0A024RCX4_HUMAN	NM_001271641
A8YXX5	A8YXX5_HUMAN	NM_001271641
A0A087WYZ7	A0A087WYZ7_HUMAN	NM_001271662
A0A0A0MQZ6	A0A0A0MQZ6_HUMAN	NM_001271665
A6NFV8	A6NFV8_HUMAN	NM_001271668
A0A087WYP9	A0A087WYP9_HUMAN	NM_001271669
B4DYM8	B4DYM8_HUMAN	NM_001271675
A0A087WXC8	A0A087WXC8_HUMAN	NM_001271680
A0A087WTV6	A0A087WTV6_HUMAN	NM_001271681
Q7Z3K5	Q7Z3K5_HUMAN	NM_001271697
B4DGL8	B4DGL8_HUMAN	NM_001271698
A0A087WW65	A0A087WW65_HUMAN	NM_001271699
A6NGH8	ANR61_HUMAN	NM_001271700
A0A087WTN9	A0A087WTN9_HUMAN	NM_001271702
B4DTB3	B4DTB3_HUMAN	NM_001271702
P13928	ANXA8_HUMAN	NM_001040084,NM_001098845,NM_001271702,NM_001271703
S4R3E6	S4R3E6_HUMAN	NM_001271706
Q5VVV9	Q5VVV9_HUMAN	NM_001271711
A0A087WT42	A0A087WT42_HUMAN	NM_001271712
D6RI10	D6RI10_HUMAN	NM_001271718
D6RC51	D6RC51_HUMAN	NM_001271720
A0A087WTA9	A0A087WTA9_HUMAN	NM_001271722
Q2TV78	MST1L_HUMAN	NM_001271733
B4DER9	B4DER9_HUMAN	NM_001271742
B4DWI9	B4DWI9_HUMAN	NM_001271748
B7ZA71	B7ZA71_HUMAN	NM_001271748
Q9BZ81	MAGB5_HUMAN	NM_001271752
B4DN32	B4DN32_HUMAN	NM_001271754
A0A087WY35	A0A087WY35_HUMAN	NM_001271755
B4DKP8	B4DKP8_HUMAN	NM_001271763
E7EUN9	E7EUN9_HUMAN	NM_001271763
B4DPZ3	B4DPZ3_HUMAN	NM_001271786
I1Z9G4	I1Z9G4_HUMAN	NM_001271804
A0A087WZT4	A0A087WZT4_HUMAN	NM_001271814
A6NGA6	A6NGA6_HUMAN	NM_001271815
Q1ZYL4	Q1ZYL4_HUMAN	NM_001271815
B4DUB4	B4DUB4_HUMAN	NM_001271819
A0A087X1N8	A0A087X1N8_HUMAN	NM_001271823
A6NGG3	CI092_HUMAN	NM_001271829
A0A024R0H5	A0A024R0H5_HUMAN	NM_001271833
Q9H5V7	IKZF5_HUMAN	NM_001271840
A0A087WVH9	A0A087WVH9_HUMAN	NM_001271848
B4DQ03	B4DQ03_HUMAN	NM_001271851
B4DQG4	B4DQG4_HUMAN	NM_001271851
J3KNC6	J3KNC6_HUMAN	NM_001271854
B4DZ23	B4DZ23_HUMAN	NM_001271855
A0A087WYD5	A0A087WYD5_HUMAN	NM_001271868
Q7Z422	SZRD1_HUMAN	NM_001114600,NM_001271869
P0DMP2	SRG2B_HUMAN	NM_001271870
Q0PTK2	Q0PTK2_HUMAN	NM_001271876
Q3B825	Q3B825_HUMAN	NM_001271882
Q5JTD7	LRC73_HUMAN	NM_001012974,NM_001271882
B4DKB7	B4DKB7_HUMAN	NM_001271890
Q6MZT1	R7BP_HUMAN	NM_001029875,NM_001271890,NM_001271891
U3KQG0	U3KQG0_HUMAN	NM_001271895
A0A087WYH0	A0A087WYH0_HUMAN	NM_001271908,NM_001271909
H0YKT4	H0YKT4_HUMAN	NM_001271921
A5PLM0	A5PLM0_HUMAN	NM_001271934
B4E0Z4	B4E0Z4_HUMAN	NM_001172645,NM_001271934
A0A087WXU0	A0A087WXU0_HUMAN	NM_001271937
I1YAP7	I1YAP7_HUMAN	NM_001146162,NM_001271942
A0A087X1R7	A0A087X1R7_HUMAN	NM_001271955
A0A087WUC8	A0A087WUC8_HUMAN	NM_001271956
A0A0A0MTL8	A0A0A0MTL8_HUMAN	NM_001271961
B4DGL0	B4DGL0_HUMAN	NM_001271972
Q6PK50	Q6PK50_HUMAN	NM_001271972
Q96BA2	Q96BA2_HUMAN	NM_001271978
B3KRS6	B3KRS6_HUMAN	NM_001271979
Q8N8P7	CK044_HUMAN	NM_001271983
A0A087WY59	A0A087WY59_HUMAN	NM_001271985
A0A087WYT5	A0A087WYT5_HUMAN	NM_001271998
A0A087WZ72	A0A087WZ72_HUMAN	NM_001272037
A0A087WWB9	A0A087WWB9_HUMAN	NM_001272038
A0A0A0MRG9	A0A0A0MRG9_HUMAN	NM_001272039
B9EG74	B9EG74_HUMAN	NM_001011649,NM_001272039
Q7Z3M0	Q7Z3M0_HUMAN	NM_001272039
Q5GFL6	VWA2_HUMAN	NM_001272046
Q53FS6	Q53FS6_HUMAN	NM_001272049
A4IF54	A4IF54_HUMAN	NM_001271935,NM_001272050
A0A0A8K8N9	A0A0A8K8N9_HUMAN	NM_001272051
Q4G0I0	CSMT1_HUMAN	NM_001272051
A0A087WTY9	A0A087WTY9_HUMAN	NM_001272054
A0A024R2S8	A0A024R2S8_HUMAN	NM_001272066,NM_001272067,NM_001272068
F6SFB5	F6SFB5_HUMAN	NM_001272071
P19801	AOC1_HUMAN	NM_001091,NM_001272072
Q6ZTR6	CR065_HUMAN	NM_001272093
B7Z425	B7Z425_HUMAN	NM_001272095
B3KRR2	B3KRR2_HUMAN	NM_001127899,NM_001272102
V9GYG7	V9GYG7_HUMAN	NM_001272102
A4UAE9	A4UAE9_HUMAN	NM_001272103
K9J969	K9J969_HUMAN	NM_001272107
Q7Z4Q8	Q7Z4Q8_HUMAN	NM_001272109,NM_001272110,NM_001272111,NM_001272112,NM_001272113
O14757	CHK1_HUMAN	NM_001114121,NM_001114122,NM_001244846,NM_001274
A0A024R969	A0A024R969_HUMAN	NM_001276
P36222	CH3L1_HUMAN	NM_001276
A8K6A9	A8K6A9_HUMAN	NM_001276249
A0A0A0MTU4	A0A0A0MTU4_HUMAN	NM_001276253
K9M1U5	IFNL4_HUMAN	NM_001276254
B3KVT7	B3KVT7_HUMAN	NM_001276260
B5M0C0	B5M0C0_HUMAN	NM_001276265
B5M0B7	B5M0B7_HUMAN	NM_001276266
B5M0B8	B5M0B8_HUMAN	NM_001276267,NM_001276268
B7Z7W9	B7Z7W9_HUMAN	NM_001276253,NM_001276274
Q59GP8	Q59GP8_HUMAN	NM_001276275
Q9H7J1	PPR3E_HUMAN	NM_001276318
A0A087X049	A0A087X049_HUMAN	NM_001276331
B9A023	B9A023_HUMAN	NM_001276337
A0A087WZD4	A0A087WZD4_HUMAN	NM_001276342
B7Z2Y1	B7Z2Y1_HUMAN	NM_001276342
B7Z3Q1	B7Z3Q1_HUMAN	NM_001276342
P45379	TNNT2_HUMAN	NM_000364,NM_001001430,NM_001001431,NM_001001432,NM_001276345,NM_001276346,NM_001276347
Q5SVJ3	CA100_HUMAN	NM_001012970,NM_001276348
Q5JVX7	CA141_HUMAN	NM_001276351
F2Z2X7	F2Z2X7_HUMAN	NM_001276352
Q5TBE3	CI153_HUMAN	NM_001276366,NM_001276367,NM_001276368
A0A087X0D8	A0A087X0D8_HUMAN	NM_001276374
B7ZW23	B7ZW23_HUMAN	NM_001276374
B7ZW24	B7ZW24_HUMAN	NM_001276374,NM_001276375
A0A087X0J1	A0A087X0J1_HUMAN	NM_001276376
H0YNU9	H0YNU9_HUMAN	NM_001276385
A0A087X251	A0A087X251_HUMAN	NM_001276389
B4DEC7	B4DEC7_HUMAN	NM_001276389
Q5T700	LRAD1_HUMAN	NM_001010978,NM_001276392,NM_001276393,NM_001276394
Q9H9P5	UNKL_HUMAN	NM_001037125,NM_001193388,NM_001193389,NM_001276414
F1T0I1	F1T0I1_HUMAN	NM_001276418
A6NNA5	DRGX_HUMAN	NM_001276451
B7Z752	B7Z752_HUMAN	NM_001276453
B7Z720	B7Z720_HUMAN	NM_001276458
Q5R3K3	FA26F_HUMAN	NM_001010919,NM_001276460
B3KQL2	B3KQL2_HUMAN	NM_001276495
P0DM35	M1BL1_HUMAN	NM_001276687
A0A087X1Q1	A0A087X1Q1_HUMAN	NM_001276697
A0A087WXZ1	A0A087WXZ1_HUMAN	NM_001276698
A0A087WT22	A0A087WT22_HUMAN	NM_001276699
A6NHY2	AKD1B_HUMAN	NM_001276713
H2EHT1	H2EHT1_HUMAN	NM_001126118,NM_001276760,NM_001276761
P04637	P53_HUMAN	NM_000546,NM_001126112,NM_001126113,NM_001126114,NM_001126115,NM_001126116,NM_001126117,NM_001126118,NM_001276695,NM_001276696,NM_001276697,NM_001276698,NM_001276699,NM_001276760,NM_001276761
Q53GA5	Q53GA5_HUMAN	NM_000546,NM_001126112,NM_001126113,NM_001126114,NM_001126115,NM_001126116,NM_001126117,NM_001126118,NM_001276695,NM_001276696,NM_001276697,NM_001276698,NM_001276699,NM_001276760,NM_001276761
A8K4Q3	A8K4Q3_HUMAN	NM_001277058,NM_001277059
E7EV46	E7EV46_HUMAN	NM_001277058,NM_001277059
A0A0A0MS29	A0A0A0MS29_HUMAN	NM_001277067
Q8WUD4	CCD12_HUMAN	NM_001277074
Q9H0D2	ZN541_HUMAN	NM_001277075
M0R0D7	M0R0D7_HUMAN	NM_001277082
P0CG39	POTEJ_HUMAN	NM_001277083
Q7Z398	ZN550_HUMAN	NM_001277090,NM_001277091,NM_001277092,NM_001277093
H9NAJ7	H9NAJ7_HUMAN	NM_001277115
H9NAJ8	H9NAJ8_HUMAN	NM_001277115
Q96DT5	DYH11_HUMAN	NM_001277115
Q96NT7	Q96NT7_HUMAN	NM_001277115
Q5VIY5	ZN468_HUMAN	NM_001008801,NM_001277120
B4DXW1	B4DXW1_HUMAN	NM_001277140
A0A087X1H7	A0A087X1H7_HUMAN	NM_001277161
A0A087WTC3	A0A087WTC3_HUMAN	NM_001277176
Q8N6K7	SAMD3_HUMAN	NM_001017373,NM_001258275,NM_001277185
A0A0A0MQS0	A0A0A0MQS0_HUMAN	NM_001277196
A6NLH6	A6NLH6_HUMAN	NM_001277200
B7Z536	B7Z536_HUMAN	NM_001277225
Q6ZRI0	OTOG_HUMAN	NM_001277269
Q8N7W7	Q8N7W7_HUMAN	NM_001277285
Q9UPX0	TUTLB_HUMAN	NM_001277285
A8MT65	ZN891_HUMAN	NM_001277291
Q495V5	Q495V5_HUMAN	NM_001277303
A0A0A6YYL3	A0A0A6YYL3_HUMAN	NM_001277303,NM_001277304
H3BUK9	POTB2_HUMAN	NM_001277303,NM_001277304
A8MXT2	MAGBH_HUMAN	NM_001277307
A6NCC3	GOG8O_HUMAN	NM_001277308
Q68DA7	FMN1_HUMAN	NM_001103184,NM_001277313,NM_001277314
F8WFD2	NPIA3_HUMAN	NM_001277323
A0A0B4J2F6	A0A0B4J2F6_HUMAN	NM_001277324
E9PKD4	NPIA5_HUMAN	NM_001277325
A8MVA2	KRA96_HUMAN	NM_001277331
A8MTY7	KRA97_HUMAN	NM_001277332
A6NC57	ANR62_HUMAN	NM_001277333
F5GXT2	F5GXT2_HUMAN	NM_001277335
Q9H5L9	CE066_HUMAN	NM_001277348
A6NG13	MGT4D_HUMAN	NM_001277353
Q0VF49	K2012_HUMAN	NM_001277372
A6NJJ6	CS067_HUMAN	NM_001277378
F8VTS6	RFAL1_HUMAN	NM_001277397
Q6ZMV8	ZN730_HUMAN	NM_001277403
P0CG38	POTEI_HUMAN	NM_001277406
Q5H9J9	T11X2_HUMAN	NM_001277423
A0A075B761	A0A075B761_HUMAN	NM_001277444
B4DG53	B4DG53_HUMAN	NM_001037675,NM_001277444
Q3BBV1	NBPFK_HUMAN	NM_001037675,NM_001277444
A0A087WY31	A0A087WY31_HUMAN	NM_001277813,NM_001277814
B4DPX9	B4DPX9_HUMAN	NM_001277814
